noun,rarity
Muz,2
Elma,1
Armut,1
Karpuz,2
Mandalina,2
Yahni,3
Köfte,3
Makarna,0
Hanımeller Kurabiye,1
Kekstra,1
Leblebi,1
Hamsi,5
Balina,4
Tavşan Eti,3
Kavun,2
Dolma,3
Yaprak Sarması,6
Yoğurt,3
Milka,1
Soğan,1
Kuru Soğan,3
Pırasa,0
Patates,1
Patates Kızartması,2
Hamburger,0
İskender,5
Etliekmek,6
Tahin Pekmez,1
Portakal,1
Greyfurt,0
Hurma,4
Hünkar Beğendi,5
Salata,1
Hıyar,2
Domates,2
Bakla,0
Brokoli,0
Kapya Biber,1
Köy Biberi,2
Galeta,1
Somun Ekmek,1
Halkekmek,3
Vakfıkebir Ekmeği,5
Sakatat,0
Turşu,2
Limon,3
Ceviz,2
Sulu Köfte,4
Güveç,5
Sarımsak,2
Portakallı Ördek,3
Künefe,4
Kuymak,5
Troklosti,6
Pleskavista,4
Alfajör,3
Ratatouille,2
Gullurikya,4
Tikka Masala Soslu Tavuk,4
Balık Ekmek,4
Hint Ekmeği,3
Kayseri Mantısı,4
Tatar Mantısı,2
Profiterol,1
Baklava,3
Kıbrıs Tatlısı,3
Humus,1
Falafel,2
Peripella,0
Nutella,2
Tarhana Çorbası,4
Simit,1
Peynirli Poğaça,1
Patatesli Poğaça,2
Dardanel Ton,3
Yumurta,1
Sucuk,3
Barbunya,0
Fındık,1